t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,label,ID,date,channel
-2.166666667,-18.83333333,-25.16666667,-14.83333333,5.833333333,16.16666667,9.166666667,-4.833333333,-1.166666667,21.83333333,25.83333333,-24.83333333,-89.16666667,-57.83333333,72.16666667,-11.5,-918.5,-3182.5,-6815.166667,-11167.83333,-15258.83333,-18260.16667,-19793.16667,-19937.83333,-19067.5,-17671.83333,-16179.16667,-14820.5,-13604.83333,-12414.83333,-11124.16667,-9682.166667,-8120.833333,-6534.5,-5031.833333,-3668.166667,-2425.5,-1257.5,-132.5,949.8333333,1983.833333,2961.166667,3859.5,4646.166667,5304.166667,5861.5,6365.833333,6848.166667,7298.833333,7688.166667,7997.5,8235.833333,8423.833333,8576.833333,8688.833333,8742.5,8732.5,8682.5,8633.166667,8598.5,8561.166667,8485.5,8347.5,8152.833333,7913.166667,7632.5,7313.5,6988.833333,6710.166667,6521.5,6417.833333,6364.5,6318.833333,6252.166667,6141.833333,5979.5,5799.5,5669.5,5635.5,5658.833333,5626.5,5439.5,5106.833333,4749.166667,4506.833333,4421.5,4412.166667,4347.5,4143.833333,3808.833333,3406.833333,3013.166667,2691.166667,2473.5,2340.166667,2216.833333,2014.833333,1700.5,1323.833333,979.8333333,727.5,554.5,410.8333333,267.5,132.5,14.5,-106.8333333,-265.5,-470.8333333,-691.1666667,-884.5,-1027.166667,-1122.5,-1184.5,-1238.166667,-1304.833333,-1395.5,-1499.833333,-1585.833333,-1628.5,-1633.833333,-1624.833333,-1633.166667,-1670.5,-1732.833333,-1793.166667,-1815.833333,-1787.833333,-1734.5,-1705.833333,-1740.5,-1830.833333,-1935.833333,-2004.166667,-2003.833333,-1939.166667,-1841.166667,-1758.833333,-1729.166667,-1761.166667,-1826.166667,-1874.166667,-1861.5,-1783.5,-1668.166667,-1562.5,-1502.5,-1496.5,-1525.5,-1548.833333,-1531.5,4-Rose,83,1.12,1
11.66666667,21,25.66666667,24,24.66666667,35,52,65,70.66666667,66.66666667,30.66666667,-59,-143.3333333,-75,166,171.3333333,-876.6666667,-3647.666667,-7933.333333,-12517,-15914,-17395.33333,-17339.33333,-16685,-16109.66667,-15708,-15247.33333,-14552.66667,-13609,-12447,-11070.33333,-9508.333333,-7863,-6257.666667,-4768,-3405.333333,-2145.666667,-959.6666667,179.3333333,1290.666667,2360.666667,3350,4210.333333,4911,5456,5882.333333,6252.666667,6632,7037.666667,7443,7793.333333,8051.666667,8199.666667,8238.666667,8187.666667,8093.333333,8016.333333,7970.333333,7928,7856.333333,7768,7699.333333,7643.333333,7531.666667,7300,6980.333333,6701.333333,6574.666667,6569,6526.333333,6298.666667,5893.333333,5474.666667,5214,5152.666667,5185.333333,5174.333333,5051.333333,4838.333333,4618.666667,4468.333333,4424.333333,4456.666667,4480,4405.666667,4192.333333,3880,3561.333333,3321.666667,3184.666667,3099.666667,2983,2774,2466.333333,2100,1739.666667,1457.666667,1298.333333,1256.666667,1260.666667,1206.333333,1022.333333,720.6666667,389.3333333,135.3333333,12.33333333,-5,0.333333333,-53,-198.3333333,-410.6666667,-627.3333333,-780.6666667,-839.6666667,-823.3333333,-787,-786.6666667,-847,-952,-1072.666667,-1180,-1254,-1289.333333,-1293.666667,-1295,-1323.333333,-1395,-1500,-1598.666667,-1645,-1612.666667,-1520,-1419,-1363.333333,-1366,-1395.333333,-1408.333333,-1392,-1370.333333,-1379.333333,-1424.333333,-1474.333333,-1485.666667,-1439.666667,-1352.333333,-1266.666667,-1223.666667,-1239.666667,-1292.666667,-1336,-1332.666667,4-Rose,83,1.12,1
82.66666667,84,82.66666667,78,73.66666667,78,99,135,177.6666667,186.6666667,124.6666667,15,-15.33333333,136,299,-77.66666667,-1631.666667,-4548.666667,-8253.333333,-11707,-14082,-15203.33333,-15438.33333,-15264,-14944.66667,-14513,-13905.33333,-13062.66667,-11972,-10689,-9329.333333,-8017.333333,-6802,-5630.666667,-4414,-3108.333333,-1752.666667,-441.6666667,738.3333333,1742.666667,2566.666667,3238,3796.333333,4297,4793,5311.333333,5827.666667,6273,6575.666667,6743,6867.333333,7064.666667,7360.666667,7657.666667,7817.666667,7780.333333,7615.333333,7433.333333,7293,7160.333333,6984,6764.333333,6551.333333,6384.666667,6246,6087.333333,5890.333333,5691.666667,5541,5445.333333,5354.666667,5207.333333,4994.666667,4780,4648.666667,4635.333333,4696.333333,4744.333333,4713.333333,4590.666667,4406.333333,4205.333333,4046.666667,3978,4000.666667,4040.333333,3977,3733.333333,3337.666667,2918.666667,2605.666667,2444,2376,2298.333333,2140,1890.666667,1595.666667,1317.333333,1106.666667,984.6666667,924.3333333,857.3333333,722.6666667,510.3333333,267.3333333,42.33333333,-139,-285.6666667,-404,-492.3333333,-558.6666667,-624.3333333,-719.6666667,-851.6666667,-1005.333333,-1146,-1246.666667,-1302,-1331,-1368.666667,-1440,-1542,-1653.333333,-1744.666667,-1797,-1802.333333,-1769,-1725,-1708.666667,-1741,-1806.666667,-1864,-1876,-1838.333333,-1782,-1747.333333,-1754.333333,-1793,-1838.333333,-1867.333333,-1866.333333,-1831.333333,-1766.666667,-1687.666667,-1616.333333,-1571.666667,-1555.666667,-1549.666667,-1520.666667,-1449,-1347.666667,4-Rose,83,1.12,1
-31.33333333,-23.66666667,-21.33333333,-25,-28,-21.66666667,-10.66666667,-5.666666667,-21,-56.33333333,-90,-95,-58.66666667,-8.666666667,3.333333333,-70.66666667,-238.3333333,-476,-761.3333333,-1108,-1541,-2060.666667,-2625.666667,-3178.666667,-3689.666667,-4164,-4595.666667,-4945,-5161.333333,-5226.333333,-5176.666667,-5067,-4936.333333,-4779.333333,-4576.666667,-4319.666667,-4018.666667,-3696.333333,-3362,-3016.666667,-2652,-2260,-1840,-1406.333333,-981.3333333,-589.3333333,-241.3333333,72.66666667,371.6666667,670.3333333,969,1257.333333,1528,1774.333333,1993,2179.666667,2331,2456,2578.333333,2713.666667,2859,2982,3057.333333,3084,3085.666667,3085,3091.666667,3106.666667,3124.666667,3143,3158.666667,3170,3176,3172.333333,3155.333333,3125.333333,3092.666667,3073.666667,3067.333333,3058,3026,2960.333333,2873.333333,2783,2703.333333,2640,2581.666667,2514,2426.666667,2317.666667,2195,2068,1950.333333,1849,1767.333333,1700.666667,1629.666667,1542.333333,1434.333333,1316.666667,1201.333333,1094.666667,990,885.6666667,784,697,633,582.3333333,528.3333333,457,370.3333333,279.3333333,200,143,106.6666667,75,30,-36,-109.3333333,-170,-207.3333333,-233,-262,-297,-331.6666667,-353.6666667,-365,-371.6666667,-380.3333333,-393.6666667,-410.6666667,-433,-458.3333333,-490.3333333,-527,-567.3333333,-599.3333333,-608,-588.6666667,-549,-509.3333333,-492.3333333,-503.3333333,-529.3333333,-547,-540,-512,-481.6666667,-464.6666667,-461.6666667,-459.3333333,4-Rose,137,7.12,1
-19,-3.333333333,5,3.333333333,-5.666666667,-13.33333333,-13.33333333,-3.333333333,9.333333333,15,9.333333333,-2.666666667,-3.333333333,11.66666667,24.66666667,-2.333333333,-98,-277.6666667,-540,-878.6666667,-1271.666667,-1694.333333,-2124.333333,-2553.333333,-2992.333333,-3434.666667,-3836.333333,-4140.666667,-4311,-4365,-4351.333333,-4305.666667,-4231,-4109,-3927.333333,-3692.333333,-3417.333333,-3116,-2804.666667,-2501.333333,-2218.666667,-1953.666667,-1687.666667,-1398,-1079,-751,-443,-170,77,317.6666667,563.3333333,804.6666667,1028.333333,1219.666667,1380.333333,1513,1629.333333,1738.333333,1853.666667,1971,2081.333333,2172.333333,2240.666667,2298.333333,2356,2414.333333,2472,2525,2571,2603.333333,2620,2632.333333,2655.333333,2690.666667,2728.666667,2751.666667,2761,2767,2765.666667,2746.333333,2703.333333,2647.666667,2599.666667,2562.333333,2524.666667,2477.333333,2421,2360.333333,2293,2209,2101.333333,1982.333333,1875.666667,1795.333333,1736.666667,1682,1608,1513.666667,1407.666667,1297,1187.666667,1085,996.3333333,918,842.3333333,758.3333333,672.3333333,594.6666667,531.6666667,471.3333333,403.6666667,332.6666667,265.3333333,207.3333333,153,98.33333333,44.33333333,-1.666666667,-35,-60.66666667,-87,-119.6666667,-158.6666667,-198.6666667,-234.3333333,-261.3333333,-279.6666667,-296.3333333,-318,-346.3333333,-373.3333333,-391.6666667,-399,-410,-437.6666667,-476,-503,-501.6666667,-474.3333333,-446.6666667,-441,-460,-488,-510,-523.6666667,-529.6666667,-533.6666667,-533.3333333,-526.3333333,-514.3333333,-504,4-Rose,137,7.12,1
23.83333333,31.5,26.83333333,16.16666667,4.166666667,-3.5,-7.5,-9.5,-9.833333333,-8.166666667,-4.833333333,0.166666667,13.5,34.5,53.5,49.5,-4.166666667,-126.8333333,-336.1666667,-641.8333333,-1037.833333,-1492.5,-1957.5,-2391.5,-2776.5,-3127.833333,-3463.5,-3787.833333,-4077.166667,-4291.166667,-4399.5,-4396.833333,-4308.166667,-4172.166667,-4007.5,-3813.5,-3573.5,-3284.166667,-2961.833333,-2632.5,-2310.833333,-1994.833333,-1674.833333,-1346.166667,-1015.166667,-692.1666667,-386.1666667,-105.1666667,149.8333333,380.5,599.1666667,812.5,1024.166667,1224.5,1404.166667,1562.833333,1709.166667,1853.166667,1994.5,2117.833333,2212.166667,2280.166667,2332.5,2381.166667,2429.833333,2469.166667,2492.833333,2494.833333,2480.833333,2459.166667,2442.833333,2442.166667,2457.166667,2481.5,2504.5,2522.5,2533.833333,2547.833333,2562.5,2571.166667,2558.166667,2512.5,2437.5,2359.166667,2297.5,2257.166667,2214.833333,2151.166667,2066.833333,1980.833333,1909.166667,1846.166667,1777.5,1694.166667,1607.5,1531.833333,1467.833333,1405.5,1328.5,1235.833333,1134.5,1036.833333,947.1666667,863.8333333,784.1666667,707.1666667,633.1666667,562.5,497.5,437.1666667,378.5,320.5,263.1666667,212.1666667,166.8333333,117.1666667,58.16666667,-5.833333333,-62.16666667,-101.8333333,-130.1666667,-158.8333333,-190.8333333,-222.8333333,-251.5,-276.5,-301.8333333,-321.5,-328.1666667,-322.5,-317.5,-324.8333333,-347.1666667,-374.1666667,-396.8333333,-414.1666667,-426.1666667,-431.8333333,-427.5,-411.8333333,-394.1666667,-390.1666667,-408.1666667,-440.1666667,-469.8333333,-483.8333333,-479.8333333,-462.5,-446.5,-439.5,-442.1666667,4-Rose,137,7.12,1
93.83333333,152.8333333,177.1666667,162.1666667,132.8333333,124.5,153.1666667,211.8333333,276.5,300.8333333,219.1666667,39.16666667,-73.16666667,68.83333333,315.5,-102.5,-2297.5,-6939.833333,-13529.16667,-20454.16667,-25929.5,-29049.5,-29883.83333,-29864.16667,-29843.16667,-29821.5,-29373.5,-28060.83333,-26058.5,-23690.5,-21248.16667,-18828.16667,-16382.16667,-13869.16667,-11307.5,-8754.166667,-6301.833333,-4051.5,-2080.166667,-364.8333333,1204.5,2738.5,4277.833333,5787.166667,7207.5,8497.166667,9637.166667,10606.5,11384.83333,11970.5,12413.83333,12812.16667,13273.16667,13827.16667,14399.5,14840.5,15035.16667,14997.16667,14870.83333,14825.83333,14924.16667,15072.16667,15096.5,14885.83333,14486.83333,14065.83333,13773.5,13628.5,13517.83333,13305.5,12954.16667,12549.83333,12236.5,12104.16667,12131.5,12208.16667,12218.5,12121.83333,11959.16667,11805.83333,11690.83333,11571.16667,11357.5,11001.83333,10543.5,10078.5,9676.166667,9325.833333,8949.166667,8490.5,7956.166667,7406.166667,6889.166667,6406.833333,5944.833333,5499.166667,5082.833333,4693.5,4301.833333,3875.166667,3423.5,2990.166667,2609.833333,2273.833333,1936.5,1555.166667,1134.833333,727.5,384.5,115.5,-123.5,-387.5,-705.5,-1053.5,-1383.833333,-1653.166667,-1853.166667,-2002.833333,-2127.166667,-2248.166667,-2379.833333,-2520.5,-2658.833333,-2772.5,-2848.166667,-2897.166667,-2943.5,-3003.166667,-3067.833333,-3113.166667,-3125.166667,-3108.5,-3084.166667,-3078.833333,-3105.166667,-3156.833333,-3208.166667,-3227.166667,-3198.833333,-3141.833333,-3094.833333,-3083.166667,-3094.5,-3091.833333,-3053.833333,-2987.833333,-2924.166667,-2878.833333,-2837.833333,-2776.5,-2683.166667,4-Rose,88,9.12,1
-4.666666667,23.33333333,68.66666667,108.6666667,123.3333333,110,88.66666667,79.33333333,98,151.3333333,188.6666667,136.6666667,-12.66666667,-80.66666667,122,362,-306,-3115.333333,-8584.666667,-15760.66667,-22634,-27462,-29795.33333,-30360.66667,-30140.66667,-29570,-28534,-26835.33333,-24558,-22014,-19504.66667,-17196.66667,-15076.66667,-13028.66667,-10910,-8628.666667,-6231.333333,-3886,-1796.666667,-59.33333333,1406,2758,4127.333333,5532.666667,6890,8120.666667,9204.666667,10134,10903.33333,11502,11979.33333,12400.66667,12832.66667,13224.66667,13494,13602,13628.66667,13692.66667,13855.33333,14055.33333,14140.66667,13996.66667,13622,13139.33333,12687.33333,12323.33333,11994,11610,11151.33333,10698,10352.66667,10123.33333,9958,9788.666667,9622,9540.666667,9598,9779.333333,9968.666667,10047.33333,9959.333333,9748.666667,9494,9263.333333,9062,8854,8608.666667,8315.333333,7980.666667,7630,7268.666667,6896.666667,6520.666667,6139.333333,5755.333333,5356.666667,4955.333333,4546,4135.333333,3728.666667,3338,2960.666667,2603.333333,2251.333333,1890,1508.666667,1115.333333,738,386,74,-206,-450,-682,-902,-1115.333333,-1304.666667,-1468.666667,-1619.333333,-1784.666667,-1980.666667,-2191.333333,-2390,-2531.333333,-2622,-2664.666667,-2680.666667,-2686,-2700.666667,-2747.333333,-2832.666667,-2940.666667,-3030,-3064.666667,-3051.333333,-3024.666667,-3027.333333,-3076.666667,-3140.666667,-3191.333333,-3187.333333,-3135.333333,-3056.666667,-2986,-2943.333333,-2935.333333,-2927.333333,-2892.666667,-2823.333333,-2727.333333,-2642,-2576.666667,4-Rose,88,9.12,1
103.3333333,63.33333333,28.66666667,28.66666667,71.33333333,134,188.6666667,215.3333333,218,199.3333333,152.6666667,84.66666667,43.33333333,111.3333333,234,-10,-1378,-4575.333333,-9652.666667,-15796.66667,-21714,-26326,-29211.33333,-30488.66667,-30468.66667,-29422,-27606,-25343.33333,-22954,-20618,-18336.66667,-16000.66667,-13552.66667,-11064.66667,-8702,-6608.666667,-4775.333333,-3070,-1344.666667,432.6666667,2170,3726,5023.333333,6084.666667,6986,7812.666667,8604.666667,9346,10011.33333,10574,11059.33333,11512.66667,11988.66667,12484.66667,12950,13306,13488.66667,13496.66667,13363.33333,13163.33333,12992.66667,12900.66667,12858,12759.33333,12507.33333,12099.33333,11682,11398,11299.33333,11290,11232.66667,11027.33333,10706,10356.66667,10094,9976.666667,9962,9975.333333,9936.666667,9823.333333,9651.333333,9448.666667,9210,8919.333333,8586,8250,7940.666667,7663.333333,7372.666667,7042,6660.666667,6260.666667,5896.666667,5563.333333,5231.333333,4832.666667,4343.333333,3782,3227.333333,2760.666667,2422,2176.666667,1959.333333,1695.333333,1366,992.6666667,627.3333333,318,62,-154,-370,-598,-842,-1090,-1319.333333,-1516.666667,-1680.666667,-1835.333333,-1988.666667,-2140.666667,-2267.333333,-2362,-2419.333333,-2466,-2528.666667,-2616.666667,-2726,-2824.666667,-2895.333333,-2928.666667,-2944.666667,-2950,-2952.666667,-2947.333333,-2948.666667,-2955.333333,-2960.666667,-2952.666667,-2927.333333,-2883.333333,-2835.333333,-2776.666667,-2702,-2599.333333,-2499.333333,-2415.333333,-2356.666667,-2295.333333,-2215.333333,-2122,-2040.666667,4-Rose,88,9.12,1
-90.66666667,-49.33333333,-2.666666667,20,20,-2.666666667,-20,-21.33333333,14.66666667,76,130.6666667,124,72,77.33333333,189.3333333,208,-373.3333333,-2068,-4952,-8456,-11637.33333,-13753.33333,-14581.33333,-14409.33333,-13682.66667,-12770.66667,-11808,-10812,-9749.333333,-8637.333333,-7512,-6404,-5318.666667,-4244,-3193.333333,-2189.333333,-1244,-369.3333333,438.6666667,1181.333333,1854.666667,2458.666667,2993.333333,3450.666667,3836,4152,4426.666667,4692,4948,5169.333333,5342.666667,5492,5646.666667,5809.333333,5921.333333,5938.666667,5866.666667,5769.333333,5697.333333,5640,5560,5448,5322.666667,5218.666667,5124,4998.666667,4825.333333,4632,4449.333333,4269.333333,4064,3832,3610.666667,3466.666667,3424,3445.333333,3466.666667,3450.666667,3416,3410.666667,3438.666667,3453.333333,3409.333333,3285.333333,3126.666667,2980,2882.666667,2829.333333,2782.666667,2713.333333,2602.666667,2441.333333,2257.333333,2085.333333,1961.333333,1884,1824,1724,1561.333333,1344,1116,933.3333333,818.6666667,752,696,605.3333333,474.6666667,329.3333333,197.3333333,116,72,45.33333333,-8,-92,-201.3333333,-317.3333333,-422.6666667,-509.3333333,-566.6666667,-594.6666667,-605.3333333,-622.6666667,-685.3333333,-785.3333333,-901.3333333,-976,-986.6666667,-950.6666667,-905.3333333,-898.6666667,-950.6666667,-1021.333333,-1070.666667,-1066.666667,-1010.666667,-938.6666667,-890.6666667,-878.6666667,-905.3333333,-926.6666667,-922.6666667,-889.3333333,-840,-809.3333333,-810.6666667,-833.3333333,-853.3333333,-852,-833.3333333,-814.6666667,-821.3333333,4-Rose,90,16.12,1
